,No.Tested,% of +,Neg Casses,Pos Cases,malignant,Non-malignant,Quartan,double Tertian,Plasmodium,local,Introduced,Alien,Non-catagorized,regressive
Dammam,191182,270,94978.0,0.1,139,130,1,0,0,0,0,270,0,0
Al-ahssa,29656,38,46834.0,0.1,25,12,1,0,0,0,0,38,0,0
Al-jowf,43579,7,14002.0,0.01,0,7,0,0,0,0,0,7,0,0
Northern-Borders,78,5,884.0,6.4,5,0,0,0,0,0,0,5,0,0
Qurayat,3446,0,3738.0,0.0,0,0,0,0,0,0,0,0,0,0
hafar-albatin,189,14,111.0,7.4,8,6,0,0,0,0,0,14,0,0
Qaseem,68911,72,45797.0,0.1,21,50,1,0,0,0,0,72,0,0
Riyadh,20324,172,120117.0,0.8,86,80,3,3,0,0,0,172,0,0
Bishaa,1235,16,647.0,1.2,8,8,0,0,0,0,0,16,0,0
Najraan,26477,50,18250.0,0.2,21,29,0,0,0,0,0,50,0,0
Tabook,5535,11,3512.0,0.2,11,0,0,0,0,0,0,11,0,0
Hail,3042,18,1675.0,0.6,7,11,0,0,0,0,0,18,0,0
Madena,51094,135,38118.0,0.3,101,24,0,10,0,0,0,135,0,0
Taif,85748,93,76713.0,0.1,38,54,1,0,0,0,0,93,0,0
Mecca,30930,112,19494.0,0.4,78,32,1,1,0,0,0,112,0,0
Jeddah,3625,410,0.0,7.4,170,214,9,17,0,0,0,410,0,0
Allaith,1889,0,,0.0,0,0,0,0,0,0,0,0,0,0
Alqunfthah,2283,11,2550.0,0.5,7,4,0,0,0,0,0,11,0,0
Bahaa,7579,11,13718.0,0.1,5,6,0,0,0,0,0,11,0,0
Jazaan,171098,2774,184797.0,1.6,2284,475,5,8,2,0,260,2514,0,0
Aseer,16922,100,8621.0,0.5,65,35,0,0,0,0,14,86,0,0
Total,764822,4319,699390.0,0.6,3079,1177,22,39,2,0,274,4045,0,0
